feature,gain
Store_Dept_Sales_median,7631664.1096919775
Dept,1709611.308750391
Store_Dept_Sales_mean,1185592.502051115
Store,1124192.9509580135
SalesLag52,822981.7612550259
Type_Dept_Sales_median,457661.76196724176
Store_Dept_Sales_std,373088.2105038166
Temperature,204310.08907663822
Dept_Sales_count,193915.68913972378
Type_Dept_Sales_mean,168615.30460608006
Type_Dept_Sales_count,164075.37056827545
Fuel_Price,157608.10828490555
Store_Sales_count,152212.63752555847
DayOfYear,146500.33184242249
Type_Dept_Sales_std,108480.26463088393
CPI,104101.68988013268
Dept_Sales_std,100378.94803845882
Unemployment,94338.99088013172
WeekOfYear,91995.33711588383
Dept_Sales_median,91528.93832731247
DaysFromStart,84788.75251054764
Store_Dept_Sales_count,82689.18021780252
Store_Sales_median,82442.22485733032
Dept_Sales_mean,82181.9905949086
DaysToNearestThanksgiving,80732.7469047904
Store_Sales_std,77428.6091709137
Type_Dept,72334.23677587509
Store_Dept,66753.87907487154
Store_Sales_mean,66262.54292094707
WeekCos,64076.30041074753
IsHoliday,57537.061660289764
WeekSin,56293.97342789173
MarkDown3,53968.55119776726
MarkDown2,48014.28913354874
DaysToNearestSuperBowl,45720.775508880615
MarkDown5,41733.286579847336
DaysToNearestLaborDay,40343.78109931946
Holiday_MarkDown3,39210.948541641235
Holiday_MarkDown2,39019.69392681122
MarkDown1,37403.38263261318
Holiday_MarkDown5,37153.05588722229
MarkDown4,36809.677811414
Month,35224.99829173088
Holiday_TotalMarkDown,34141.32598543167
TotalMarkDown,33266.74989557266
Holiday_MarkDown1,32003.50895357132
Holiday_MarkDown4,28091.167397022247
DaysToNearestChristmas,25235.505093812943
Size,23043.856254130602
IsThanksgivingWeek,21131.756998062134
WeeksToNearestThanksgiving,15908.124231338501
MonthCos,13747.948368549347
MarkDown3_log1p,13437.144426107407
MarkDown2_log1p,11291.692081928253
IsSuperBowlWeek,10726.915390968323
IsLaborDayWeek,10627.114120960236
WeeksToNearestSuperBowl,10249.712565898895
MarkDown1_log1p,8693.247002601624
MarkDown4_log1p,8375.592880368233
MarkDown5_log1p,8222.653337955475
WeeksToNearestLaborDay,8187.052583694458
MonthSin,7999.706983566284
TotalMarkDown_log1p,7560.968548536301
WeeksToNearestChristmas,6546.553071737289
Year,3085.401161670685
Quarter,1790.4834866523743
Type,1744.1022486686707
IsChristmasWeek,902.2740097045898
MarkDown2_missing,668.1204376220703
SalesLag52_available,296.8429126739502
MarkDown3_missing,152.09249687194824
HasMarkDown1,103.06999969482422
HasMarkDown2,67.71831941604614
HasMarkDown3,60.610300064086914
MarkDown1_missing,36.44240188598633
HasMarkDown4,35.317501068115234
MarkDown4_missing,33.432209968566895
MarkDown5_missing,0.0
HasMarkDown5,0.0
HasAnyMarkDown,0.0
