trial,wmae,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,max_bin
0,1935.973116,0.0253627693,12,8.960785,0.85953,0.704607,2.275054e-07,3.332365e-08,9.842316,256
1,2144.234952,0.1113546925,11,1.88912,0.713639,0.714192,4.431943e-06,0.0005282115,0.986094,256
2,2034.539299,0.0206669803,7,3.920674,0.924812,0.719886,0.0002973788,0.002146501,0.127904,128
3,2055.287183,0.1056864905,12,11.265467,0.756615,0.684185,0.008956175,9.148975e-05,0.190903,512
4,1976.95916,0.0190226275,9,2.544166,0.832024,0.841349,4.05549e-07,5.324289,6.075806,128
5,2181.232104,0.0988255831,4,1.798786,0.66583,0.763866,2.404873e-05,2.767842e-06,8.071419,512
6,2067.003293,0.0141932803,11,1.250238,0.99541,0.920286,5.353302e-07,1.121241e-08,7.523176,512
7,2067.208187,0.0120200867,7,1.414976,0.952086,0.868154,7.559133e-06,3.732718e-08,0.519493,256
8,2039.375508,0.0906699452,8,1.430855,0.899636,0.916275,0.0007630158,0.08683696,1.36848,128
9,2333.660417,0.0130747804,4,6.729597,0.760025,0.828,0.7850432,1.752387e-06,0.879637,128
10,2007.928739,0.0293040252,12,4.353547,0.80256,0.761995,1.071838e-08,1.498503e-08,14.7847,256
11,1993.545567,0.0115306266,11,2.828878,0.836868,0.842497,4.253054e-07,0.142155,9.570444,128
12,1949.323197,0.0165262065,10,9.132018,0.758809,0.737791,0.0001342851,3.831075e-08,1.544825,256
13,1977.264017,0.0273878324,8,11.273049,0.863754,0.794438,5.782725e-05,5.1592e-08,1.202684,256
14,1943.708285,0.0194056528,11,14.962821,0.898558,0.701173,4.085447e-06,1.494538e-07,12.674728,128
15,1986.388318,0.034994391,11,17.024705,0.983686,0.746694,1.242198e-08,2.846528e-06,11.374418,128
16,1966.179455,0.0146215613,10,8.627794,0.844598,0.738151,2.952083e-05,1.575951e-06,4.010283,128
17,1958.92326,0.0385993929,12,4.695231,0.943074,0.65214,9.88675e-07,8.057e-07,2.836609,256
18,2003.608105,0.0305882331,10,17.155302,0.877277,0.817421,0.00390262,3.892123e-05,18.595053,512
19,1944.468909,0.0261248423,9,15.937947,0.840054,0.652404,3.406781e-06,0.0004094483,3.889632,512
